time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
1867.772150000,34.56425250,35.42333886,35.52918192,36.40584695,34.70495743,34.32894734,34.62286237,34.19470405,35.28120711,34.93191244,34.12546140,34.55009893,34.28026171
1967.772150000,34.56391249,35.42250297,35.52829923,36.40408405,34.70449279,34.32872646,34.62240341,34.19447214,35.28028132,34.93120907,34.12525835,34.54964708,34.27993543
2067.772150000,34.56373554,35.42182452,35.52753821,36.40304483,34.70419284,34.32856038,34.62207157,34.19433686,35.27958145,34.93063609,34.12511098,34.54923970,34.27965391
2167.772150000,34.56354598,35.42144494,35.52713763,36.40212399,34.70396288,34.32846470,34.62184221,34.19421340,35.27911830,34.93028493,34.12502088,34.54904430,34.27951168
2267.772150000,34.56353040,35.42117812,35.52681888,36.40183395,34.70386590,34.32838073,34.62173686,34.19418793,35.27887438,34.93006888,34.12495233,34.54884194,34.27938484
2367.772150000,34.56342773,35.42104557,35.52670443,36.40146933,34.70377786,34.32837028,34.62163745,34.19412252,35.27870015,34.92995475,34.12493496,34.54882000,34.27934644
2467.772150000,34.56343179,35.42100760,35.52665145,36.40141755,34.70376243,34.32835224,34.62162647,34.19412241,35.27866020,34.92991725,34.12491622,34.54877792,34.27932190
2567.772150000,34.56342980,35.42100063,35.52664248,36.40140479,34.70375775,34.32834934,34.62162215,34.19412267,35.27865368,34.92991122,34.12491680,34.54877210,34.27932146
2667.772150000,34.56341971,35.42096811,35.52660657,36.40135755,34.70374353,34.32834148,34.62160669,34.19411671,35.27862349,34.92988650,34.12490970,34.54875268,34.27931232
2767.772150000,34.56341836,35.42096380,35.52660244,36.40134679,34.70374111,34.32833941,34.62160407,34.19411508,35.27861672,34.92988121,34.12490846,34.54875025,34.27930814
2867.772150000,34.56341015,35.42093701,35.52657429,36.40129539,34.70372712,34.32833189,34.62159125,34.19410757,35.27858737,34.92985693,34.12490126,34.54873542,34.27929462
2967.772150000,34.56340836,35.42093092,35.52656705,36.40128548,34.70372451,34.32833035,34.62158747,34.19410656,35.27858090,34.92985178,34.12490036,34.54873095,34.27929304
3067.772150000,34.56339880,35.42090324,35.52653652,36.40123808,34.70371229,34.32832396,34.62157349,34.19410058,35.27855255,34.92983040,34.12489426,34.54871525,34.27928352
3167.772150000,34.56339751,35.42089840,35.52653135,36.40122854,34.70370852,34.32832241,34.62157036,34.19409913,35.27854608,34.92982480,34.12489315,34.54871209,34.27928037
3267.772150000,34.56339085,35.42087895,35.52651039,36.40119029,34.70369834,34.32831727,34.62156054,34.19409423,35.27852490,34.92980796,34.12488848,34.54870131,34.27927212
3367.772150000,34.56338916,35.42087301,35.52650379,36.40118093,34.70369616,34.32831584,34.62155703,34.19409284,35.27851826,34.92980257,34.12488723,34.54869742,34.27926967
3467.772150000,34.56338269,35.42085532,35.52648447,36.40114853,34.70368757,34.32831144,34.62154800,34.19408864,35.27849933,34.92978800,34.12488313,34.54868753,34.27926284
3567.772150000,34.56338089,35.42084861,35.52647718,36.40113599,34.70368326,34.32830970,34.62154413,34.19408698,35.27849169,34.92978172,34.12488168,34.54868337,34.27925980
3667.772150000,34.56337619,35.42083592,35.52646331,36.40111297,34.70367761,34.32830654,34.62153762,34.19408391,35.27847794,34.92977105,34.12487866,34.54867622,34.27925476
3767.772150000,34.56337420,35.42082872,35.52645553,36.40109913,34.70367402,34.32830464,34.62153362,34.19408217,35.27846996,34.92976460,34.12487710,34.54867192,34.27925170
3867.772150000,34.56337010,35.42081805,35.52644380,36.40108014,34.70366810,34.32830206,34.62152809,34.19407958,35.27845835,34.92975558,34.12487456,34.54866585,34.27924741
3967.772150000,34.56336795,35.42081042,35.52643562,36.40106532,34.70366433,34.32830000,34.62152394,34.19407774,35.27844996,34.92974887,34.12487290,34.54866138,34.27924428
4067.772150000,34.56336416,35.42080046,35.52642458,36.40104801,34.70366006,34.32829762,34.62151874,34.19407532,35.27843909,34.92974038,34.12487052,34.54865569,34.27924021
4167.772150000,34.56336213,35.42079346,35.52641716,36.40103388,34.70365584,34.32829573,34.62151496,34.19407363,35.27843140,34.92973426,34.12486898,34.54865160,34.27923739
4267.772150000,34.56335805,35.42078263,35.52640511,36.40101561,34.70365025,34.32829313,34.62150927,34.19407101,35.27841960,34.92972501,34.12486643,34.54864540,34.27923293
4367.772150000,34.56335631,35.42077643,35.52639861,36.40100235,34.70364752,34.32829143,34.62150591,34.19406949,35.27841272,34.92971955,34.12486504,34.54864174,34.27923044
4467.772150000,34.56335182,35.42076426,35.52638505,36.40098201,34.70364156,34.32828847,34.62149950,34.19406655,35.27839948,34.92970914,34.12486220,34.54863479,34.27922542
4567.772150000,34.56335023,35.42075871,35.52637931,36.40096975,34.70363817,34.32828697,34.62149649,34.19406519,35.27839330,34.92970426,34.12486094,34.54863150,34.27922322
4667.772150000,34.56334531,35.42074514,35.52636417,36.40094683,34.70363178,34.32828362,34.62148933,34.19406191,35.27837851,34.92969261,34.12485779,34.54862372,34.27921760
4767.772150000,34.56334381,35.42073989,35.52635881,36.40093510,34.70362902,34.32828221,34.62148648,34.19406062,35.27837266,34.92968798,34.12485659,34.54862060,34.27921554
4867.772150000,34.56333902,35.42072662,35.52634398,36.40091261,34.70362197,34.32827891,34.62147946,34.19405741,35.27835819,34.92967658,34.12485351,34.54861299,34.27921001
4967.772150000,34.56333750,35.42072146,35.52633874,36.40090122,34.70361954,34.32827756,34.62147667,34.19405614,35.27835246,34.92967206,34.12485234,34.54860993,34.27920802
5067.772150000,34.56333299,35.42070881,35.52632456,36.40087972,34.70361365,34.32827436,34.62146997,34.19405307,35.27833864,34.92966116,34.12484940,34.54860267,34.27920272
5167.772150000,34.56333148,35.42070381,35.52631952,36.40086873,34.70361049,34.32827309,34.62146726,34.19405184,35.27833308,34.92965678,34.12484825,34.54859970,34.27920081
5267.772150000,34.56332676,35.42069055,35.52630465,36.40084617,34.70360376,34.32826974,34.62146024,34.19404863,35.27831861,34.92964536,34.12484518,34.54859208,34.27919523
5367.772150000,34.56332540,35.42068603,35.52630012,36.40083605,34.70360180,34.32826858,34.62145778,34.19404751,35.27831356,34.92964138,34.12484413,34.54858938,34.27919354
5467.772150000,34.56332091,35.42067320,35.52628579,36.40081409,34.70359515,34.32826531,34.62145098,34.19404440,35.27829956,34.92963033,34.12484116,34.54858201,34.27918812
5567.772150000,34.56331950,35.42066887,35.52628141,36.40080462,34.70359277,34.32826424,34.62144864,34.19404334,35.27829474,34.92962654,34.12484015,34.54857944,34.27918653
5667.772150000,34.56331538,35.42065696,35.52626816,36.40078402,34.70358725,34.32826119,34.62144234,34.19404045,35.27828177,34.92961629,34.12483741,34.54857261,34.27918150
5767.772150000,34.56331396,35.42065266,35.52626372,36.40077484,34.70358473,34.32826011,34.62143997,34.19403938,35.27827693,34.92961248,34.12483639,34.54857002,34.27917988
5867.772150000,34.56331023,35.42064195,35.52625188,36.40075634,34.70357908,34.32825741,34.62143437,34.19403682,35.27826540,34.92960337,34.12483396,34.54856396,34.27917541
5967.772150000,34.56330891,35.42063791,35.52624761,36.40074779,34.70357727,34.32825636,34.62143209,34.19403578,35.27826071,34.92959969,34.12483296,34.54856144,34.27917382
6067.772150000,34.56330507,35.42062683,35.52623546,36.40072853,34.70357204,34.32825357,34.62142633,34.19403314,35.27824887,34.92959032,34.12483048,34.54855522,34.27916925
6167.772150000,34.56330391,35.42062326,35.52623164,36.40072091,34.70356963,34.32825263,34.62142425,34.19403220,35.27824460,34.92958697,34.12482956,34.54855292,34.27916780
6267.772150000,34.56329946,35.42061056,35.52621776,36.40069870,34.70356337,34.32824947,34.62141768,34.19402919,35.27823109,34.92957629,34.12482673,34.54854582,34.27916263
6367.772150000,34.56329854,35.42060752,35.52621448,36.40069200,34.70356190,34.32824862,34.62141583,34.19402835,35.27822730,34.92957331,34.12482590,34.54854376,34.27916133
6467.772150000,34.56329358,35.42059325,35.52619893,36.40066682,34.70355461,34.32824505,34.62140842,34.19402496,35.27821206,34.92956127,34.12482271,34.54853574,34.27915553
6567.772150000,34.56329265,35.42059035,35.52619576,36.40066051,34.70355297,34.32824426,34.62140666,34.19402416,35.27820846,34.92955844,34.12482192,34.54853379,34.27915429
