pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
wel_417,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_652,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_667,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_702,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_287,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_378,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_218,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_587,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_75,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_682,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_397,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_553,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_148,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_316,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_421,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_474,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_472,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_430,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_493,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_717,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_105,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_444,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_372,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_301,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_7,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_730,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_520,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_99,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_150,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_508,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
wel_70,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
