time,ARROBS_HEAD_K:2_I:2_J:15,ARROBS_HEAD_K:2_I:2_J:9,ARROBS_HEAD_K:2_I:3_J:8,ARROBS_HEAD_K:2_I:9_J:1,ARROBS_HEAD_K:2_I:13_J:10,ARROBS_HEAD_K:2_I:15_J:16,ARROBS_HEAD_K:2_I:21_J:10,ARROBS_HEAD_K:2_I:22_J:15,ARROBS_HEAD_K:2_I:24_J:4,ARROBS_HEAD_K:2_I:26_J:6,ARROBS_HEAD_K:2_I:29_J:15,ARROBS_HEAD_K:2_I:33_J:7,ARROBS_HEAD_K:2_I:34_J:10,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
367.7721500000,35.17585888,35.74069863,35.82173179,36.69848684,35.18074799,34.92781144,35.08291636,34.80283685,35.54051853,35.28527266,34.69951749,34.96187147,34.76057606,35.15259463,35.75223782,35.83378020,36.71131559,35.19106927,34.93768986,35.09304715,34.78710316,35.55200747,35.29565995,34.68527540,34.97169392,34.77036132
467.7721500000,35.11686277,35.64450202,35.71958253,36.52690352,35.12449842,34.88550606,35.03484606,34.76735095,35.46564052,35.22552638,34.66914329,34.92017426,34.72655270,35.09549570,35.65546056,35.73096620,36.53858553,35.13458786,34.89523892,35.04482218,34.75265771,35.47672735,35.23569315,34.65577186,34.92989554,34.73626370
567.7721500000,35.07869136,35.58358015,35.65507001,36.42137251,35.08670017,34.85647560,35.00121840,34.74214453,35.41510201,35.18410548,34.64697947,34.89009013,34.70167557,35.05851769,35.59417404,35.66604151,36.43239841,35.09661289,34.86608569,35.01105726,34.72815606,35.42591016,35.19409438,34.63420848,34.89970418,34.71129885
667.7721500000,35.05415720,35.54490120,35.61417206,36.35530369,35.06182335,34.83713787,34.97849742,34.72498106,35.38150745,35.15617196,34.63163929,34.86932049,34.68438695,35.03473788,35.55526569,35.62488625,36.36593762,35.07161227,34.84665834,34.98823248,34.71145893,35.39212531,35.16603023,34.61927078,34.87884808,34.69393761
767.7721500000,35.03840554,35.52023510,35.58811076,36.31344284,35.04558679,34.82442759,34.96340221,34.71353729,35.35935568,35.13759627,34.62130570,34.85533491,34.67270834,35.01946590,35.53045523,35.59866354,36.32383625,35.05529300,34.83388644,34.97306459,34.70032099,35.36984642,35.14736398,34.60920327,34.86479952,34.68220556
867.7721500000,35.02829273,35.50446318,35.57145359,36.28673837,35.03505764,34.81614808,34.95349622,34.70601149,35.34486502,35.12539037,34.61446646,34.84607550,34.66496432,35.00965924,35.51459163,35.58190395,36.29698118,35.04470912,34.82556586,34.96310912,34.69299410,35.35527102,35.13509647,34.60253790,34.85549613,34.67442402
967.7721500000,35.02179530,35.49435407,35.56077920,36.26964168,35.02824256,34.81077742,34.94703960,34.70109790,35.33544052,35.11742933,34.60998400,34.84000841,34.65988496,35.00335783,35.50442440,35.57116479,36.27978904,35.03785839,34.82016828,34.95661963,34.68820944,35.34579089,35.12709442,34.59816848,34.84939933,34.66931926
1067.772150000,35.01760698,35.48785018,35.55391336,36.25862486,35.02383741,34.80729119,34.94283074,34.69789489,35.32929665,35.11222410,34.60705023,34.83603253,34.65655482,34.99929574,35.49788342,35.56425760,36.26871174,35.03343018,34.81666443,34.95238932,34.68509029,35.33961098,35.12186248,34.59530856,34.84540395,34.66597242
1167.772150000,35.01491213,35.48366365,35.54949329,36.25153526,35.02099126,34.80504178,34.94011363,34.69582897,35.32532821,35.10886844,34.60515736,34.83347028,34.65440903,34.99668194,35.49367298,35.55981089,36.26158308,35.03056908,34.81440357,34.94965798,34.68307808,35.33561873,35.11848896,34.59346289,34.84282857,34.66381539
1267.772150000,35.01315647,35.48095625,35.54663661,36.24694671,35.01914966,34.80358570,34.93836206,34.69449712,35.32276465,35.10670362,34.60394168,34.83182265,34.65302954,34.99497925,35.49095038,35.55693726,36.25696964,35.02871790,34.81294011,34.94789719,34.68178086,35.33303972,35.11631264,34.59227746,34.84117248,34.66242862
1367.772150000,35.01203588,35.47920286,35.54478435,36.24397392,35.01795347,34.80263828,34.93720201,34.69361289,35.32107293,35.10526436,34.60312406,34.83071321,34.65209879,34.99389219,35.48918714,35.55507404,36.25398077,35.02751547,34.81198794,34.94673145,34.68091991,35.33133841,35.11486628,34.59148060,34.84005794,34.66149351
1467.772150000,35.01131617,35.47808731,35.54360632,36.24207850,35.01718045,34.80202384,34.93644952,34.69303790,35.31997911,35.10433308,34.60259134,34.82999392,34.65149347,34.99319408,35.48806506,35.55388873,36.25207468,35.02673840,34.81137041,34.94597509,34.68035991,35.33023809,35.11393012,34.59096126,34.83933503,34.66088511
1567.772150000,35.01085666,35.47736872,35.54284707,36.24085277,35.01668868,34.80163461,34.93597564,34.69267758,35.31928158,35.10374257,34.60225968,34.82954009,34.65111448,34.99274839,35.48734241,35.55312491,36.25084228,35.02624393,34.81097909,34.94549857,34.68000882,35.32953611,35.11333635,34.59063773,34.83887871,34.66050397
1667.772150000,35.01053146,35.47687632,35.54232947,36.24002186,35.01635332,34.80136827,34.93565305,34.69243084,35.31880640,35.10333949,34.60202996,34.82923092,34.65085479,34.99243322,35.48684758,35.55260465,36.25000739,35.02590707,34.81071155,34.94517454,34.67976862,35.32905861,35.11293140,34.59041386,34.83856816,34.66024315
1767.772150000,35.01036229,35.47660895,35.54204451,36.23955584,35.01616272,34.80121627,34.93546494,34.69228679,35.31853435,35.10310586,34.60189728,34.82905182,34.65070518,34.99226862,35.48657804,35.55231732,36.24953781,35.02571510,34.81055855,34.94498516,34.67962815,35.32878437,35.11269617,34.59028430,34.83838793,34.66009250
1867.772150000,35.01026616,35.47643983,35.54186125,36.23922004,35.01605824,34.80113762,34.93536254,34.69221146,35.31837124,35.10297094,34.60182657,34.82895305,34.65062528,34.99217524,35.48640795,35.55213294,36.24920064,35.02560981,34.81047934,34.94488202,34.67955454,35.32862007,35.11256028,34.59021520,34.83828846,34.66001196
1967.772150000,35.01015613,35.47628421,35.54170255,36.23899860,35.01594998,34.80105057,34.93526035,34.69213294,35.31822768,35.10284809,34.60175458,34.82885377,34.65053858,34.99206911,35.48625204,35.55197384,36.24897810,35.02550155,34.81039229,34.94477973,34.67947843,35.32847622,35.11243730,34.59014531,34.83818908,34.65992526
2067.772150000,35.01015604,35.47628405,35.54170233,36.23899823,35.01594978,34.80105036,34.93526012,34.69213292,35.31822736,35.10284790,34.60175452,34.82885357,34.65053846,34.99206810,35.48625045,35.55197219,36.24897558,35.02550036,34.81039126,34.94477854,34.67947775,35.32847453,35.11243593,34.59014467,34.83818798,34.65992435
2167.772150000,35.01015597,35.47628394,35.54170220,36.23899794,35.01594966,34.80105025,34.93525999,34.69213286,35.31822715,35.10284778,34.60175448,34.82885344,34.65053838,34.99206806,35.48625038,35.55197207,36.24897543,35.02550028,34.81039117,34.94477847,34.67947772,35.32847442,35.11243588,34.59014465,34.83818791,34.65992432
2267.772150000,35.01010338,35.47619681,35.54160783,36.23883969,35.01587959,34.80099133,34.93518728,34.69207653,35.31812809,35.10275924,34.60170331,34.82878620,34.65048358,34.99201771,35.48616400,35.55187846,36.24881850,35.02543082,34.81033271,34.94470644,34.67942358,35.32837612,35.11234810,34.59009543,34.83812122,34.65987005
2367.772150000,35.01010322,35.47619661,35.54160763,36.23883972,35.01587952,34.80099122,34.93518718,34.69207642,35.31812800,35.10275918,34.60170328,34.82878605,34.65048343,34.99201712,35.48616295,35.55187736,36.24881693,35.02543001,34.81033205,34.94470556,34.67942298,35.32837506,35.11234715,34.59009494,34.83812042,34.65986931
2467.772150000,35.01010307,35.47619641,35.54160743,36.23883961,35.01587942,34.80099111,34.93518704,34.69207631,35.31812787,35.10275908,34.60170324,34.82878590,34.65048327,34.99201705,35.48616290,35.55187730,36.24881710,35.02543005,34.81033209,34.94470554,34.67942297,35.32837508,35.11234720,34.59009494,34.83812040,34.65986926
2567.772150000,35.01007681,35.47616170,35.54157281,36.23879916,35.01585639,34.80097571,34.93516481,34.69205964,35.31809705,35.10273438,34.60168591,34.82876247,34.65046062,34.99199186,35.48612837,35.55184284,36.24877685,35.02540713,34.81031675,34.94468343,34.67940690,35.32834443,35.11232269,34.59007826,34.83809708,34.65984670
2667.772150000,35.01006239,35.47614268,35.54155252,36.23875875,35.01583895,34.80095907,34.93514661,34.69204594,35.31807083,35.10271074,34.60167265,34.82874484,34.65044709,34.99197781,35.48610920,35.55182248,36.24873659,35.02538963,34.81030014,34.94466515,34.67939360,35.32831815,35.11229899,34.59006534,34.83807940,34.65983311
2767.772150000,35.01006157,35.47614117,35.54155025,36.23875531,35.01583845,34.80095749,34.93514648,34.69204458,35.31806950,35.10270939,34.60167208,34.82874372,34.65044579,34.99197693,35.48610756,35.55181995,36.24873254,35.02538903,34.81029835,34.94466495,34.67939216,35.32831659,35.11229747,34.59006471,34.83807814,34.65983168
2867.772150000,35.01006084,35.47613997,35.54154980,36.23875690,35.01583753,34.80095742,34.93514505,34.69204408,35.31806872,35.10270834,34.60167141,34.82874304,34.65044542,34.99197620,35.48610630,35.55181959,36.24873443,35.02538806,34.81029830,34.94466343,34.67939166,35.32831581,35.11229636,34.59006403,34.83807743,34.65983130
2967.772150000,35.01006052,35.47613942,35.54154845,36.23875337,35.01583728,34.80095696,34.93514513,34.69204366,35.31806800,35.10270809,34.60167115,34.82874258,34.65044488,34.99197591,35.48610582,35.55181814,36.24873058,35.02538785,34.81029781,34.94466359,34.67939128,35.32831509,35.11229616,34.59006380,34.83807700,34.65983076
3067.772150000,35.01005998,35.47613832,35.54154814,36.23875490,35.01583657,34.80095677,34.93514414,34.69204320,35.31806734,35.10270716,34.60167076,34.82874195,34.65044449,34.99197539,35.48610465,35.55181795,36.24873247,35.02538712,34.81029771,34.94466254,34.67939079,35.32831443,35.11229519,34.59006340,34.83807634,34.65983040
3167.772150000,35.01005996,35.47613830,35.54154797,36.23875442,35.01583653,34.80095666,34.93514414,34.69204318,35.31806726,35.10270716,34.60167073,34.82874192,34.65044442,34.99197534,35.48610460,35.55181773,36.24873190,35.02538706,34.81029755,34.94466253,34.67939077,35.32831434,35.11229518,34.59006338,34.83807630,34.65983031
3267.772150000,35.01005935,35.47613752,35.54154635,36.23875081,35.01583592,34.80095604,34.93514372,34.69204257,35.31806623,35.10270659,34.60167015,34.82874125,34.65044364,34.99197478,35.48610391,35.55181598,36.24872805,35.02538647,34.81029688,34.94466214,34.67939019,35.32831331,35.11229467,34.59006283,34.83807566,34.65982949
3367.772150000,35.01005894,35.47613654,35.54154622,36.23875229,35.01583541,34.80095594,34.93514299,34.69204218,35.31806571,35.10270581,34.60166989,34.82874074,34.65044342,34.99197438,35.48610286,35.55181599,36.24872976,35.02538597,34.81029687,34.94466140,34.67938980,35.32831280,35.11229384,34.59006256,34.83807512,34.65982933
3467.772150000,35.01005850,35.47613610,35.54154501,36.23874960,35.01583487,34.80095526,34.93514258,34.69204184,35.31806495,35.10270542,34.60166948,34.82874029,34.65044275,34.99197397,35.48610252,35.55181469,36.24872683,35.02538543,34.81029606,34.94466102,34.67938955,35.32831205,35.11229351,34.59006220,34.83807473,34.65982862
3567.772150000,35.01005845,35.47613599,35.54154500,36.23874973,35.01583484,34.80095531,34.93514252,34.69204177,35.31806489,35.10270534,34.60166943,34.82874023,34.65044274,34.99197391,35.48610239,35.55181468,36.24872698,35.02538539,34.81029612,34.94466095,34.67938946,35.32831198,35.11229341,34.59006213,34.83807464,34.65982861
3667.772150000,35.01005795,35.47613486,35.54154466,36.23875046,35.01583435,34.80095536,34.93514186,34.69204116,35.31806420,35.10270445,34.60166902,34.82873957,34.65044253,34.99197342,35.48610116,35.55181446,36.24872798,35.02538493,34.81029638,34.94466027,34.67938877,35.32831129,35.11229247,34.59006168,34.83807393,34.65982846
3767.772150000,35.01005777,35.47613477,35.54154401,36.23874896,35.01583405,34.80095479,34.93514165,34.69204115,35.31806386,35.10270434,34.60166890,34.82873943,34.65044211,34.99197330,35.48610123,35.55181379,36.24872632,35.02538465,34.81029565,34.94466011,34.67938888,35.32831100,35.11229244,34.59006165,34.83807390,34.65982801
3867.772150000,35.01005771,35.47613467,35.54154393,36.23874885,35.01583399,34.80095479,34.93514159,34.69204107,35.31806377,35.10270426,34.60166884,34.82873935,34.65044207,34.99197316,35.48610095,35.55181360,36.24872621,35.02538450,34.81029562,34.94465997,34.67938873,35.32831082,35.11229228,34.59006153,34.83807371,34.65982793
3967.772150000,35.01005763,35.47613453,35.54154381,36.23874870,35.01583391,34.80095474,34.93514150,34.69204098,35.31806365,35.10270414,34.60166875,34.82873926,34.65044200,34.99197316,35.48610099,35.55181360,36.24872604,35.02538451,34.81029567,34.94465995,34.67938869,35.32831077,35.11229223,34.59006149,34.83807372,34.65982790
4067.772150000,35.01005760,35.47613448,35.54154376,36.23874863,35.01583388,34.80095472,34.93514146,34.69204096,35.31806360,35.10270411,34.60166874,34.82873922,34.65044197,34.99197308,35.48610083,35.55181347,36.24872601,35.02538443,34.81029558,34.94465988,34.67938865,35.32831069,35.11229216,34.59006145,34.83807362,34.65982786
4167.772150000,35.01005749,35.47613429,35.54154357,36.23874839,35.01583375,34.80095463,34.93514133,34.69204085,35.31806342,35.10270394,34.60166863,34.82873910,34.65044186,34.99197298,35.48610065,35.55181330,36.24872569,35.02538429,34.81029555,34.94465973,34.67938850,35.32831050,35.11229199,34.59006135,34.83807348,34.65982772
4267.772150000,35.01005746,35.47613426,35.54154353,36.23874834,35.01583372,34.80095461,34.93514130,34.69204082,35.31806338,35.10270392,34.60166861,34.82873906,34.65044184,34.99197295,35.48610062,35.55181325,36.24872570,35.02538428,34.81029548,34.94465972,34.67938852,35.32831047,35.11229196,34.59006133,34.83807347,34.65982772
4367.772150000,35.01003078,35.47609278,35.54150077,36.23869112,35.01580367,34.80093204,34.93511014,34.69201647,35.31802205,35.10266782,34.60164588,34.82870889,34.65041539,34.99194738,35.48605948,35.55177082,36.24866899,35.02535449,34.81027314,34.94462883,34.67936500,35.32826947,35.11225618,34.59003931,34.83804353,34.65980150
4467.772150000,35.01003079,35.47609278,35.54150077,36.23869111,35.01580365,34.80093200,34.93511014,34.69201649,35.31802204,35.10266780,34.60164592,34.82870888,34.65041537,34.99194718,35.48605907,35.55177042,36.24866845,35.02535419,34.81027289,34.94462854,34.67936488,35.32826908,35.11225584,34.59003925,34.83804325,34.65980124
4567.772150000,35.01003077,35.47609273,35.54150074,36.23869100,35.01580360,34.80093189,34.93511011,34.69201651,35.31802195,35.10266773,34.60164594,34.82870885,34.65041533,34.99194719,35.48605907,35.55177043,36.24866836,35.02535415,34.81027280,34.94462852,34.67936494,35.32826901,35.11225577,34.59003934,34.83804324,34.65980120
4667.772150000,35.01003076,35.47609272,35.54150073,36.23869096,35.01580358,34.80093186,34.93511010,34.69201650,35.31802193,35.10266771,34.60164594,34.82870882,34.65041531,34.99194717,35.48605904,35.55177040,36.24866832,35.02535412,34.81027274,34.94462850,34.67936492,35.32826897,35.11225575,34.59003931,34.83804321,34.65980118
4767.772150000,35.01002404,35.47608646,35.54149372,36.23867172,35.01579610,34.80092336,34.93510287,34.69201081,35.31800975,35.10265651,34.60163953,34.82870103,34.65040936,34.99194072,35.48605281,35.55176348,36.24864929,35.02534669,34.81026433,34.94462133,34.67935943,35.32825690,35.11224463,34.59003312,34.83803546,34.65979528
4867.772150000,35.01002405,35.47608628,35.54149314,36.23867040,35.01579606,34.80092300,34.93510271,34.69201083,35.31800938,35.10265633,34.60163962,34.82870096,34.65040920,34.99194069,35.48605262,35.55176278,36.24864765,35.02534657,34.81026379,34.94462109,34.67935946,35.32825637,35.11224434,34.59003320,34.83803534,34.65979505
4967.772150000,35.01002399,35.47608620,35.54149312,36.23867043,35.01579605,34.80092305,34.93510268,34.69201075,35.31800936,35.10265627,34.60163956,34.82870092,34.65040918,34.99194065,35.48605255,35.55176278,36.24864777,35.02534659,34.81026388,34.94462110,34.67935938,35.32825641,35.11224434,34.59003316,34.83803532,34.65979506
5067.772150000,35.01002392,35.47608608,35.54149306,36.23867047,35.01579600,34.80092309,34.93510263,34.69201064,35.31800932,35.10265618,34.60163948,34.82870086,34.65040912,34.99194056,35.48605241,35.55176274,36.24864773,35.02534654,34.81026392,34.94462102,34.67935925,35.32825632,35.11224418,34.59003305,34.83803524,34.65979498
5167.772150000,35.01002389,35.47608604,35.54149303,36.23867045,35.01579597,34.80092308,34.93510260,34.69201062,35.31800930,35.10265615,34.60163946,34.82870084,34.65040909,34.99194054,35.48605237,35.55176270,36.24864779,35.02534651,34.81026394,34.94462101,34.67935923,35.32825634,35.11224419,34.59003304,34.83803523,34.65979497
