,sidx,idx_strs,pargp9,parval1_9,9
53,"(28, 0, 28, 46)",idx0:28_idx1:0_idx2:28_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
54,"(51, 0, 51, 46)",idx0:51_idx1:0_idx2:51_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
55,"(80, 0, 80, 46)",idx0:80_idx1:0_idx2:80_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
56,"(111, 0, 111, 46)",idx0:111_idx1:0_idx2:111_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
57,"(62, 0, 62, 46)",idx0:62_idx1:0_idx2:62_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
58,"(9, 0, 9, 46)",idx0:9_idx1:0_idx2:9_idx3:46,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
59,"(114, 0, 114, 46)",idx0:114_idx1:0_idx2:114_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
60,"(92, 0, 92, 46)",idx0:92_idx1:0_idx2:92_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
61,"(12, 0, 12, 46)",idx0:12_idx1:0_idx2:12_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
62,"(43, 0, 43, 46)",idx0:43_idx1:0_idx2:43_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
63,"(101, 0, 101, 46)",idx0:101_idx1:0_idx2:101_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
64,"(30, 0, 30, 46)",idx0:30_idx1:0_idx2:30_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
65,"(57, 0, 57, 46)",idx0:57_idx1:0_idx2:57_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
66,"(113, 0, 113, 46)",idx0:113_idx1:0_idx2:113_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
67,"(76, 0, 76, 46)",idx0:76_idx1:0_idx2:76_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
68,"(33, 0, 33, 46)",idx0:33_idx1:0_idx2:33_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
69,"(82, 0, 82, 46)",idx0:82_idx1:0_idx2:82_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
70,"(91, 0, 91, 46)",idx0:91_idx1:0_idx2:91_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
71,"(14, 0, 14, 46)",idx0:14_idx1:0_idx2:14_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
72,"(63, 0, 63, 46)",idx0:63_idx1:0_idx2:63_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
73,"(97, 0, 97, 46)",idx0:97_idx1:0_idx2:97_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
74,"(72, 0, 72, 46)",idx0:72_idx1:0_idx2:72_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
75,"(50, 0, 50, 46)",idx0:50_idx1:0_idx2:50_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
76,"(106, 0, 106, 46)",idx0:106_idx1:0_idx2:106_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
77,"(48, 0, 48, 46)",idx0:48_idx1:0_idx2:48_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
78,"(35, 0, 35, 46)",idx0:35_idx1:0_idx2:35_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
79,"(118, 0, 118, 46)",idx0:118_idx1:0_idx2:118_idx3:46,sfr_rhk,1.0,1.000000000000000000000000000000000000000000000000000000000000
80,"(87, 0, 87, 46)",idx0:87_idx1:0_idx2:87_idx3:46,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
